comparison	scenario	rep	pair	start_fst	end_fst	delta_fst
2140_restoration_vs_statusquo	restore_2km	rep002	NW-E	0.012556531983328224	0.013620010141719622	0.0010634781583913986
2140_restoration_vs_statusquo	restore_4km	rep002	NW-E	0.012556531983328224	0.013009037842325578	0.00045250585899735477
2140_restoration_vs_statusquo	restore_6km	rep002	NW-E	0.012556531983328224	0.01248137557081586	-7.515641251236438e-05
1900_to_2020	shared_history	rep002	NW-SE	0.009541540048593321	0.015701401893055408	0.006159861844462086
2020_to_2140	status_quo	rep002	NW-SE	0.015701401893055408	0.01452512666439472	-0.0011762752286606868
2020_to_2140	restore_2km	rep002	NW-SE	0.015701401893055408	0.01655506040504325	0.0008536585119878412
2020_to_2140	restore_4km	rep002	NW-SE	0.015701401893055408	0.015199112966419766	-0.0005022889266356415
2020_to_2140	restore_6km	rep002	NW-SE	0.015701401893055408	0.015069746558049126	-0.0006316553350062815
2140_restoration_vs_statusquo	restore_2km	rep002	NW-SE	0.01452512666439472	0.01655506040504325	0.002029933740648528
2140_restoration_vs_statusquo	restore_4km	rep002	NW-SE	0.01452512666439472	0.015199112966419766	0.0006739863020250453
2140_restoration_vs_statusquo	restore_6km	rep002	NW-SE	0.01452512666439472	0.015069746558049126	0.0005446198936544053
1900_to_2020	shared_history	rep002	NW-NEW01	0.7817357105276795	0.7811783448939911	-0.0005573656336884669
2020_to_2140	status_quo	rep002	NW-NEW01	0.7811783448939911	0.7836324282533492	0.00245408335935815
2020_to_2140	restore_2km	rep002	NW-NEW01	0.7811783448939911	0.7836656317674247	0.0024872868734335807
2020_to_2140	restore_4km	rep002	NW-NEW01	0.7811783448939911	0.7834585760080781	0.002280231114087039
2020_to_2140	restore_6km	rep002	NW-NEW01	0.7811783448939911	0.7826882130569739	0.0015098681629828192
2140_restoration_vs_statusquo	restore_2km	rep002	NW-NEW01	0.7836324282533492	0.7836656317674247	3.320351407543054e-05
2140_restoration_vs_statusquo	restore_4km	rep002	NW-NEW01	0.7836324282533492	0.7834585760080781	-0.0001738522452711111
